accuracy,loss,val_accuracy,val_loss
0.1964285671710968,2.79675030708313,1.0,1.797151803970337
0.25,2.1904616355895996,1.0,1.5785249471664429
0.2946428656578064,1.991517186164856,1.0,1.4426686763763428
0.2232142835855484,1.8599615097045898,1.0,1.2814313173294067
0.4375,1.4833059310913086,1.0,0.8972216248512268
0.5267857313156128,1.3768757581710815,1.0,0.8433996438980103
0.6607142686843872,1.1640089750289917,1.0,0.5900138020515442
0.6517857313156128,1.085837960243225,1.0,0.5388451814651489
0.7946428656578064,0.9357544183731079,1.0,0.5915318131446838
0.8571428656578064,0.7576718926429749,1.0,0.5522937774658203
0.9017857313156128,0.6351906061172485,1.0,0.38597241044044495
0.8928571343421936,0.5820041298866272,1.0,0.37890368700027466
0.9732142686843872,0.37331604957580566,1.0,0.2619885802268982
0.9642857313156128,0.3514871597290039,1.0,0.06784926354885101
0.9642857313156128,0.3089871108531952,1.0,0.04966988041996956
0.9732142686843872,0.2714036703109741,1.0,0.027767134830355644
0.9910714030265808,0.223904088139534,1.0,0.006019003223627806
1.0,0.15947775542736053,1.0,0.00644901767373085
1.0,0.14460866153240204,1.0,0.01943960227072239
0.9821428656578064,0.14456667006015778,1.0,0.003951146267354488
